year-month,EU,PU,EPU,RPU,REPU
2000-5,102.9409928,100.8576545,121.0494379,125.6783431,130.90454
2000-6,111.5935712,119.8249188,126.0311829,164.9868424,175.6018178
2000-7,67.86777529,81.96577619,69.52608954,92.02180806,50.74239908
2000-8,49.55620919,61.65250207,51.35930698,100.5245874,86.99343787
2000-9,90.00962596,85.15860295,78.72620088,117.9879268,176.96978
2000-10,74.42954158,77.47866788,58.49378499,110.5024143,91.35418082
2000-11,118.5352905,188.5324006,131.6344567,155.6451537,73.71225352
2000-12,127.0669113,152.1342303,133.9065363,117.5666625,164.4702743
2001-1,127.9208787,103.6149042,129.4858227,115.0172364,123.2722435
2001-2,92.45375315,97.54059727,104.4177274,64.89592016,40.88749216
2001-3,124.5431886,105.1772343,120.1690828,134.4395283,138.5231801
2001-4,149.2256017,107.1341502,129.6343533,97.35129065,116.1381628
2001-5,102.9167196,101.3192863,114.5107358,179.8319011,237.6385321
2001-6,91.54912176,104.9454669,93.33699874,121.3068816,126.8826938
2001-7,117.1130912,105.1173043,97.39365473,119.5846602,118.0002015
2001-8,90.84380647,78.55175163,86.83967418,97.36763823,98.02804943
2001-9,226.7949903,149.9563914,203.5891615,167.8233907,210.9915915
2001-10,241.0416156,142.9472128,183.2288231,119.5933959,156.7080762
2001-11,163.9567517,136.8817274,157.3767373,159.1686554,206.5629059
2001-12,147.5119117,106.7115383,131.1414665,147.7514603,175.2245028
2002-1,122.2503302,88.8140472,117.7814716,113.3253122,99.24809922
2002-2,107.9994736,99.62001843,101.338567,98.59330468,97.40253763
2002-3,73.7452372,91.53077871,89.06710279,129.4945862,126.7581988
2002-4,100.966146,89.34045786,98.36407497,125.8569208,159.1573267
2002-5,91.31157303,90.44397367,82.69406788,88.42817682,68.31019858
2002-6,101.4990036,110.8843733,102.6271412,185.0067286,157.0117983
2002-7,134.0563766,123.2634774,143.9572881,208.1703198,210.2796782
2002-8,115.1668605,91.81166397,103.9026741,124.0624814,88.61940938
2002-9,135.5376649,118.8371381,136.7950905,112.9111718,131.3723162
2002-10,140.5118317,88.79197592,101.2403506,115.8545759,85.12142557
2002-11,144.9325995,126.5007009,135.20055,124.9627346,115.5346828
2002-12,142.9740837,110.3813674,127.6877093,101.9584836,115.3364664
2003-1,129.7270864,106.8438805,116.663024,77.41520716,76.38011123
2003-2,168.6381485,132.2932452,151.7446827,88.3719841,116.9038959
2003-3,180.8826209,142.3315005,174.6405271,101.1207981,61.36269254
2003-4,173.5094748,117.118796,137.6495877,103.3523546,127.8809682
2003-5,124.9760542,109.8383294,111.3884211,79.37204571,94.34636268
2003-6,99.77095627,114.5534019,91.19447756,162.8862414,49.83819743
2003-7,88.62094083,89.43072032,70.77065016,113.4202047,63.23831044
2003-8,82.38563465,75.56422984,76.31355428,95.93108285,88.48521042
2003-9,86.62402112,101.1611972,94.81094978,101.6487912,112.680907
2003-10,68.48667831,83.03232931,46.83936735,134.6872814,39.19033944
2003-11,58.73422347,80.82354815,55.82055208,83.91052146,74.03039877
2003-12,84.89026222,73.65143494,70.55312971,119.8176529,62.66628716
2004-1,67.19529941,70.45798297,61.02412206,76.87759814,84.91245413
2004-2,82.77287582,119.7651804,99.55145974,99.62598969,84.31933084
2004-3,66.29087126,95.39093012,55.15841486,79.48080876,51.93304626
2004-4,68.43777478,88.96321225,67.79375024,100.8724869,42.61947546
2004-5,87.93338529,101.0264611,89.96078285,74.53700242,43.24989173
2004-6,66.46535345,106.9791911,77.19565989,131.1170733,141.6060221
2004-7,81.44240046,101.4435244,76.61293298,89.40196402,47.43548584
2004-8,86.56607182,90.73129365,74.47015629,99.11717892,113.4244604
2004-9,83.96753787,97.95129873,94.02905784,96.55896802,86.69473282
2004-10,101.6188422,99.10283557,104.5658279,88.39626343,123.6313295
2004-11,83.96481113,102.4894034,100.9371831,83.08324707,52.00642702
2004-12,70.65596712,84.01774522,69.96423494,98.31238288,100.1514102
2005-1,57.20654378,85.01466825,56.03857749,94.04981233,100.415992
2005-2,57.97066648,77.94625021,58.12731277,78.5204893,78.50668329
2005-3,45.6151206,96.65622491,48.91857623,112.6062456,60.17513583
